link,province
http://ldzl.people.com.cn/dfzlk/front/personProvince1.htm,北京
http://ldzl.people.com.cn/dfzlk/front/personProvince18.htm,天津
http://ldzl.people.com.cn/dfzlk/front/personProvince35.htm,河北
http://ldzl.people.com.cn/dfzlk/front/personProvince219.htm,山西
http://ldzl.people.com.cn/dfzlk/front/personProvince351.htm,内蒙古
http://ldzl.people.com.cn/dfzlk/front/personProvince465.htm,辽宁
http://ldzl.people.com.cn/dfzlk/front/personProvince580.htm,吉林
http://ldzl.people.com.cn/dfzlk/front/personProvince650.htm,黑龙江
http://ldzl.people.com.cn/dfzlk/front/personProvince792.htm,上海
http://ldzl.people.com.cn/dfzlk/front/personProvince810.htm,江苏
http://ldzl.people.com.cn/dfzlk/front/personProvince926.htm,浙江
http://ldzl.people.com.cn/dfzlk/front/personProvince1028.htm,安徽
http://ldzl.people.com.cn/dfzlk/front/personProvince1150.htm,福建
http://ldzl.people.com.cn/dfzlk/front/personProvince1245.htm,江西
http://ldzl.people.com.cn/dfzlk/front/personProvince1357.htm,山东
http://ldzl.people.com.cn/dfzlk/front/personProvince1515.htm,河南
http://ldzl.people.com.cn/dfzlk/front/personProvince1692.htm,湖北
http://ldzl.people.com.cn/dfzlk/front/personProvince1809.htm,湖南
http://ldzl.people.com.cn/dfzlk/front/personProvince1946.htm,广东
http://ldzl.people.com.cn/dfzlk/front/personProvince2089.htm,广西
http://ldzl.people.com.cn/dfzlk/front/personProvince2213.htm,海南
http://ldzl.people.com.cn/dfzlk/front/personProvince2240.htm,重庆
http://ldzl.people.com.cn/dfzlk/front/personProvince2279.htm,四川
http://ldzl.people.com.cn/dfzlk/front/personProvince2482.htm,贵州
http://ldzl.people.com.cn/dfzlk/front/personProvince2580.htm,云南
http://ldzl.people.com.cn/dfzlk/front/personProvince2726.htm,西藏
http://ldzl.people.com.cn/dfzlk/front/personProvince2807.htm,陕西
http://ldzl.people.com.cn/dfzlk/front/personProvince2925.htm,甘肃
http://ldzl.people.com.cn/dfzlk/front/personProvince3026.htm,青海
http://ldzl.people.com.cn/dfzlk/front/personProvince3078.htm,宁夏
http://ldzl.people.com.cn/dfzlk/front/personProvince3106.htm,新疆
http://ldzl.people.com.cn/dfzlk/front/personProvince3220.htm,香港
http://ldzl.people.com.cn/dfzlk/front/personProvince3221.htm,澳门
